Application_Number,API,STAV,smazat
2020-38339,PUV/38339,Platný dokument,NULL
2020-38345,PUV/38345,Platný dokument,NULL
2020-38346,PUV/38346,Platný dokument,NULL
2020-38348,PUV/38348,Platný dokument,NULL
2020-38349,PUV/38349,Platný dokument,NULL
2020-38350,PUV/38350,Platný dokument,NULL
2020-38356,PUV/38356,Platný dokument,NULL
2020-38361,PUV/38361,Platný dokument,NULL
2020-38364,PUV/38364,Platný dokument,NULL
2020-38366,PUV/38366,Platný dokument,NULL
2020-38371,PUV/38371,Platný dokument,NULL
2020-38372,PUV/38372,Platný dokument,NULL
2020-38375,PUV/38375,Platný dokument,NULL
2020-38377,PUV/38377,Platný dokument,NULL
2020-38381,PUV/38381,Platný dokument,NULL
2020-38383,PUV/38383,Platný dokument,NULL
2020-38384,PUV/38384,Platný dokument,NULL
2020-38389,PUV/38389,Platný dokument,NULL
2020-38392,PUV/38392,Platný dokument,NULL
2020-38395,PUV/38395,Platný dokument,NULL
2020-38397,PUV/38397,Platný dokument,NULL
2020-38399,PUV/38399,Platný dokument,NULL
2020-38401,PUV/38401,Platný dokument,NULL
2020-38408,PUV/38408,Platný dokument,NULL
2020-38409,PUV/38409,Platný dokument,NULL
2020-38414,PUV/38414,Platný dokument,NULL
2020-38415,PUV/38415,Platný dokument,NULL
2020-38420,PUV/38420,Platný dokument,NULL
2020-38421,PUV/38421,Platný dokument,NULL
2020-38422,PUV/38422,Platný dokument,NULL
2020-38424,PUV/38424,Platný dokument,NULL
2020-38427,PUV/38427,Platný dokument,NULL
2020-38428,PUV/38428,Platný dokument,NULL
2020-38429,PUV/38429,Platný dokument,NULL
2020-38431,PUV/38431,Platný dokument,NULL
2020-38432,PUV/38432,Platný dokument,NULL
2020-38433,PUV/38433,Platný dokument,NULL
2020-38434,PUV/38434,Platný dokument,NULL
2020-389,PT/2020-389,Platný dokument,NULL
2020-391,PT/2020-391,Platný dokument,NULL
2020-392,PT/2020-392,Platný dokument,NULL
2020-39,PT/2020-39,Platný dokument,NULL
2020-400,PT/2020-400,Negativně ukončený po zveřejněnĂ­,NULL
2020-401,PT/2020-401,Zaniklý dokument,NULL
2020-405,PT/2020-405,Platný dokument na poshovovací lhůtě,NULL
2020-406,PT/2020-406,Platný dokument,NULL
2020-408,PT/2020-408,Zveřejněná přihláška,NULL
2020-409,PT/2020-409,Negativně ukončený po zveřejněnĂ­,NULL
2020-415,PT/2020-415,Zaniklý dokument,NULL
2020-416,PT/2020-416,Platný dokument,NULL
2020-423,PT/2020-423,Platný dokument,NULL
2020-43,PT/2020-43,Platný dokument,NULL
2020-443,PT/2020-443,Platný dokument na poshovovací lhůtě,NULL
2020-444,PT/2020-444,Platný dokument na poshovovací lhůtě,NULL
2020-44,PT/2020-44,Platný dokument,NULL
2020-454,PT/2020-454,Platný dokument,NULL
2020-455,PT/2020-455,Platný dokument,NULL
2020-457,PT/2020-457,Platný dokument,NULL
2020-459,PT/2020-459,Platný dokument,NULL
2020-460,PT/2020-460,Platný dokument na poshovovací lhůtě,NULL
2020-462,PT/2020-462,Platný dokument na poshovovací lhůtě,NULL
2020-464,PT/2020-464,Platný dokument,NULL
2020-468,PT/2020-468,Platný dokument,NULL
2020-46,PT/2020-46,Zaniklý dokument,NULL
2020-490,PT/2020-490,Platný dokument,NULL
2020-497,PT/2020-497,Platný dokument,NULL
2020-498,PT/2020-498,Platný dokument,NULL
2020-50,PT/2020-50,Platný dokument,NULL
2020-519,PT/2020-519,Zveřejněná přihláška,NULL
2020-51,PT/2020-51,Platný dokument,NULL
2020-525,PT/2020-525,Zaniklý dokument,NULL
2020-527,PT/2020-527,Platný dokument,NULL
2020-528,PT/2020-528,Platný dokument,NULL
2020-533,PT/2020-533,Platný dokument,NULL
2020-535,PT/2020-535,Platný dokument,NULL
2020-538,PT/2020-538,Platný dokument,NULL
2020-542,PT/2020-542,Platný dokument,NULL
2020-549,PT/2020-549,Zaniklý dokument,NULL
2020-550,PT/2020-550,Zveřejněná přihláška,NULL
2020-551,PT/2020-551,Platný dokument na poshovovací lhůtě,NULL
2020-560,PT/2020-560,Platný dokument,NULL
2020-561,PT/2020-561,Platný dokument na poshovovací lhůtě,NULL
2020-562,PT/2020-562,Platný dokument na poshovovací lhůtě,NULL
2020-564,PT/2020-564,Zaniklý dokument,NULL
2020-571,PT/2020-571,Platný dokument,NULL
2020-572,PT/2020-572,Zveřejněná přihláška,NULL
2020-576,PT/2020-576,Platný dokument,NULL
2020-578,PT/2020-578,Zaniklý dokument,NULL
2020-579,PT/2020-579,Platný dokument na poshovovací lhůtě,NULL
2020-582,PT/2020-582,Platný dokument,NULL
2020-587,PT/2020-587,Zaniklý dokument,NULL
2020-58,PT/2020-58,Platný dokument,NULL
2020-592,PT/2020-592,Platný dokument,NULL
2020-594,PT/2020-594,Platný dokument,NULL
2020-599,PT/2020-599,Platný dokument,NULL
2020-59,PT/2020-59,Zaniklý dokument,NULL
2020-5,EP/3730890,Neúčinný EP od počátku,NULL
2020-602,PT/2020-602,Platný dokument,NULL
2020-603,PT/2020-603,Platný dokument,NULL
2020-606,PT/2020-606,Platný dokument,NULL
2020-614,PT/2020-614,Platný dokument,NULL
2020-623,PT/2020-623,Platný dokument,NULL
2020-629,PT/2020-629,Platný dokument,NULL
2020-638,PT/2020-638,Platný dokument,NULL
2020-63,PT/2020-63,Platný dokument,NULL
2020-640,PT/2020-640,Platný dokument,NULL
2020-649,PT/2020-649,Platný dokument,NULL
2020-64,PT/2020-64,Platný dokument,NULL
2020-651,PT/2020-651,Platný dokument,NULL
2020-658,PT/2020-658,Platný dokument,NULL
2020-65,PT/2020-65,Platný dokument,NULL
2020-662,PT/2020-662,Negativně ukončený po zveřejněnĂ­,NULL
2020-665,PT/2020-665,Platný dokument,NULL
2020-669,PT/2020-669,Platný dokument,NULL
2020-671,PT/2020-671,Negativně ukončený po zveřejněnĂ­,NULL
2020-678,PT/2020-678,Platný dokument,NULL
2020-67,PT/2020-67,Platný dokument,NULL
2020-682,PT/2020-682,Platný dokument,NULL
2020-686,PT/2020-686,Platný dokument,NULL
2020-692,PT/2020-692,Platný dokument,NULL
2020-694,PT/2020-694,Platný dokument,NULL
2020-704381,EP/3924353,Platný dokument,NULL
2020-706,PT/2020-706,Platný dokument,NULL
2020-707,PT/2020-707,Platný dokument,NULL
2020-70,PT/2020-70,Platný dokument,NULL
2020-710,PT/2020-710,Platný dokument,NULL
2020-712,PT/2020-712,Platný dokument,NULL
2020-713,PT/2020-713,Platný dokument,NULL
2020-721394,EP/3962915,Platný dokument,NULL
2020-721,PT/2020-721,Platný dokument,NULL
2020-724,PT/2020-724,Platný dokument,NULL
2020-725,PT/2020-725,Platný dokument,NULL
2020-72,PT/2020-72,Platný dokument,NULL
2020-732478,EP/4120837,Neúčinný EP od počátku,NULL
2020-732479,EP/4121415,Neúčinný EP od počátku,NULL
2020-733,PT/2020-733,Platný dokument,NULL
2020-736,PT/2020-736,Zaniklý dokument,NULL
2020-746859,EP/3886601,Neúčinný EP od počátku,NULL
2020-768262,EP/4153592,Platný dokument na poshovovací lhůtě,NULL
2020-78,PT/2020-78,Zaniklý dokument,NULL
2020-793257,EP/4041083,Neúčinný EP od počátku,NULL
2020-7,PT/2020-7,Platný dokument,NULL
2020-829310,EP/4136396,Neúčinný EP od počátku,NULL
2020-84,PT/2020-84,Platný dokument,NULL
2020-96,PT/2020-96,Platný dokument,NULL
2021-103,PT/2021-103,Platný dokument,NULL
2021-106,PT/2021-106,Platný dokument,NULL
2021-108,PT/2021-108,Platný dokument,NULL
2021-117,PT/2021-117,Platný dokument,NULL
2021-118,PT/2021-118,Platný dokument,NULL
2021-121,PT/2021-121,Platný dokument,NULL
2021-122,PT/2021-122,Platný dokument,NULL
2021-123,PT/2021-123,Platný dokument,NULL
2021-128,PT/2021-128,Platný dokument,NULL
2021-146,PT/2021-146,Zaniklý dokument,NULL
2021-14,PT/2021-14,Platný dokument,NULL
2021-151,PT/2021-151,Platný dokument,NULL
2021-155031,EP/4039348,Neúčinný EP od počátku,NULL
2021-158,PT/2021-158,Zaniklý dokument,NULL
2021-159836,EP/3910226,Neúčinný EP od počátku,NULL
2021-159,PT/2021-159,Platný dokument,NULL
2021-161,PT/2021-161,Zaniklý dokument,NULL
2021-164,PT/2021-164,Zaniklý dokument,NULL
2021-170571,EP/3904329,Platný dokument,NULL
2021-172710,EP/4067542,Platný dokument na poshovovací lhůtě,NULL
2021-178133,EP/3936104,Neúčinný EP od počátku,NULL
2021-179,PT/2021-179,Platný dokument,NULL
2021-17,PT/2021-17,Platný dokument,NULL
2021-184,PT/2021-184,Platný dokument,NULL
2021-186,PT/2021-186,Zveřejněná přihláška,NULL
2021-187,PT/2021-187,Zveřejněná přihláška,NULL
2021-194,PT/2021-194,Zveřejněná přihláška,NULL
2021-200,PT/2021-200,Platný dokument,NULL
2021-202368,EP/4166927,Platný dokument na poshovovací lhůtě,NULL
2021-205420,EP/4174770,Neúčinný EP od počátku,NULL
2021-212,PT/2021-212,Platný dokument,NULL
2021-214919,EP/4019836,Neúčinný EP od počátku,NULL
2021-215,PT/2021-215,Platný dokument,NULL
2021-219,PT/2021-219,Zveřejněná přihláška,NULL
2021-224,PT/2021-224,Platný dokument,NULL
2021-226,PT/2021-226,Platný dokument,NULL
2021-230,PT/2021-230,Platný dokument,NULL
2021-231,PT/2021-231,Zveřejněná přihláška,NULL
2021-232,PT/2021-232,Platný dokument,NULL
2021-23,PT/2021-23,Zveřejněná přihláška,NULL
2021-262,PT/2021-262,Platný dokument,NULL
2021-267,PT/2021-267,Platný dokument,NULL
2021-26,PT/2021-26,Platný dokument,NULL
2021-281,PT/2021-281,Platný dokument,NULL
2021-282,PT/2021-282,Platný dokument,NULL
2021-284,PT/2021-284,Platný dokument,NULL
2021-287,PT/2021-287,Zveřejněná přihláška,NULL
2021-288,PT/2021-288,Platný dokument,NULL
2021-290,PT/2021-290,Platný dokument,NULL
2021-291,PT/2021-291,Platný dokument,NULL
2021-294,PT/2021-294,Platný dokument,NULL
2021-307,PT/2021-307,Zveřejněná přihláška,NULL
2021-313,PT/2021-313,Platný dokument,NULL
2021-320,PT/2021-320,Platný dokument,NULL
2021-321,PT/2021-321,Platný dokument,NULL
2021-322,PT/2021-322,Platný dokument,NULL
2021-332,PT/2021-332,Zveřejněná přihláška,NULL
2021-334,PT/2021-334,Platný dokument,NULL
2021-337,PT/2021-337,Platný dokument,NULL
2021-339,PT/2021-339,Platný dokument,NULL
2021-347,PT/2021-347,Platný dokument,NULL
2021-349,PT/2021-349,Platný dokument,NULL
2021-356,PT/2021-356,Platný dokument na poshovovací lhůtě,NULL
2021-360,PT/2021-360,Platný dokument,NULL
2021-361,PT/2021-361,Platný dokument,NULL
2021-36,PT/2021-36,Platný dokument,NULL
2021-382,PT/2021-382,Platný dokument,NULL
2021-38440,PUV/38440,Platný dokument,NULL
2021-38441,PUV/38441,Platný dokument,NULL
2021-38451,PUV/38451,Platný dokument,NULL
2021-38463,PUV/38463,Platný dokument,NULL
2021-38474,PUV/38474,Platný dokument,NULL
2021-38478,PUV/38478,Platný dokument,NULL
2021-38480,PUV/38480,Platný dokument,NULL
2021-38482,PUV/38482,Platný dokument,NULL
2021-38486,PUV/38486,Platný dokument,NULL
2021-38487,PUV/38487,Platný dokument,NULL
2021-38492,PUV/38492,Platný dokument,NULL
2021-38496,PUV/38496,Platný dokument,NULL
2021-38506,PUV/38506,Platný dokument,NULL
2021-38509,PUV/38509,Platný dokument,NULL
2021-38512,PUV/38512,Platný dokument,NULL
2021-38516,PUV/38516,Platný dokument,NULL
2021-38525,PUV/38525,Platný dokument,NULL
2021-38529,PUV/38529,Platný dokument,NULL
2021-38554,PUV/38554,Platný dokument,NULL
2021-38561,PUV/38561,Platný dokument,NULL
2021-38569,PUV/38569,Platný dokument,NULL
2021-38570,PUV/38570,Platný dokument,NULL
2021-38597,PUV/38597,Platný dokument,NULL
2021-38600,PUV/38600,Platný dokument,NULL
2021-38602,PUV/38602,Platný dokument,NULL
2021-38604,PUV/38604,Platný dokument,NULL
2021-38607,PUV/38607,Platný dokument,NULL
2021-38614,PUV/38614,Platný dokument,NULL
2021-38615,PUV/38615,Platný dokument,NULL
2021-38616,PUV/38616,Platný dokument,NULL
2021-38618,PUV/38618,Platný dokument,NULL
2021-38619,PUV/38619,Platný dokument,NULL
2021-38620,PUV/38620,Platný dokument,NULL
2021-38624,PUV/38624,Platný dokument,NULL
2021-38629,PUV/38629,Platný dokument,NULL
2021-38632,PUV/38632,Platný dokument,NULL
2021-38633,PUV/38633,Platný dokument,NULL
2021-38635,PUV/38635,Platný dokument,NULL
2021-38636,PUV/38636,Platný dokument,NULL
2021-38645,PUV/38645,Platný dokument,NULL
2021-38651,PUV/38651,Platný dokument,NULL
2021-38652,PUV/38652,Platný dokument,NULL
2021-38659,PUV/38659,Platný dokument,NULL
2021-38671,PUV/38671,Platný dokument,NULL
2021-38672,PUV/38672,Platný dokument,NULL
2021-38682,PUV/38682,Platný dokument,NULL
2021-38688,PUV/38688,Platný dokument,NULL
2021-38689,PUV/38689,Platný dokument,NULL
2021-38694,PUV/38694,Platný dokument,NULL
2021-38696,PUV/38696,Platný dokument,NULL
2021-38698,PUV/38698,Platný dokument,NULL
2021-38709,PUV/38709,Platný dokument,NULL
2021-38719,PUV/38719,Platný dokument,NULL
2021-38728,PUV/38728,Platný dokument,NULL
2021-38731,PUV/38731,Platný dokument,NULL
2021-38733,PUV/38733,Platný dokument,NULL
2021-38737,PUV/38737,Platný dokument,NULL
2021-38740,PUV/38740,Platný dokument,NULL
2021-38746,PUV/38746,Platný dokument,NULL
2021-38750,PUV/38750,Platný dokument,NULL
2021-38753,PUV/38753,Platný dokument,NULL
2021-38790,PUV/38790,Platný dokument,NULL
2021-38792,PUV/38792,Platný dokument,NULL
2021-38795,PUV/38795,Platný dokument,NULL
2021-38805,PUV/38805,Platný dokument,NULL
2021-38807,PUV/38807,Platný dokument,NULL
2021-38835,PUV/38835,Platný dokument na poshovovací lhůtě,NULL
2021-38837,PUV/38837,Platný dokument,NULL
2021-38839,PUV/38839,Platný dokument,NULL
2021-38840,PUV/38840,Platný dokument,NULL
2021-38843,PUV/38843,Platný dokument,NULL
2021-38844,PUV/38844,Platný dokument,NULL
2021-38846,PUV/38846,Platný dokument,NULL
2021-38850,PUV/38850,Platný dokument,NULL
2021-38851,PUV/38851,Platný dokument,NULL
2021-38861,PUV/38861,Platný dokument,NULL
2021-38862,PUV/38862,Platný dokument,NULL
2021-38869,PUV/38869,Platný dokument,NULL
2021-38870,PUV/38870,Platný dokument,NULL
2021-38875,PUV/38875,Platný dokument,NULL
2021-38877,PUV/38877,Platný dokument,NULL
2021-38881,PUV/38881,Platný dokument,NULL
2021-38884,PUV/38884,Platný dokument,NULL
2021-38885,PUV/38885,Platný dokument,NULL
2021-38888,PUV/38888,Platný dokument,NULL
2021-38889,PUV/38889,Platný dokument,NULL
2021-38896,PUV/38896,Platný dokument,NULL
2021-388,PT/2021-388,Platný dokument,NULL
2021-38905,PUV/38905,Platný dokument,NULL
2021-38908,PUV/38908,Platný dokument,NULL
2021-38909,PUV/38909,Platný dokument,NULL
2021-38914,PUV/38914,Platný dokument,NULL
2021-38916,PUV/38916,Platný dokument,NULL
2021-38920,PUV/38920,Platný dokument,NULL
2021-38940,PUV/38940,Platný dokument,NULL
2021-38942,PUV/38942,Platný dokument,NULL
2021-38949,PUV/38949,Platný dokument,NULL
2021-38952,PUV/38952,Platný dokument,NULL
2021-38953,PUV/38953,Platný dokument,NULL
2021-38959,PUV/38959,Platný dokument,NULL
2021-38962,PUV/38962,Platný dokument,NULL
2021-38973,PUV/38973,Platný dokument,NULL
2021-38974,PUV/38974,Platný dokument,NULL
2021-38986,PUV/38986,Platný dokument,NULL
2021-38990,PUV/38990,Platný dokument,NULL
2021-38991,PUV/38991,Platný dokument,NULL
2021-38993,PUV/38993,Platný dokument,NULL
2021-38995,PUV/38995,Platný dokument,NULL
2021-38,PT/2021-38,Zveřejněná přihláška,NULL
2021-39000,PUV/39000,Platný dokument,NULL
2021-39019,PUV/39019,Platný dokument,NULL
2021-39022,PUV/39022,Platný dokument,NULL
2021-39023,PUV/39023,Platný dokument,NULL
2021-39038,PUV/39038,Platný dokument,NULL
2021-39053,PUV/39053,Platný dokument,NULL
2021-39055,PUV/39055,Platný dokument,NULL
2021-39062,PUV/39062,Platný dokument,NULL
2021-39075,PUV/39075,Platný dokument,NULL
2021-39084,PUV/39084,Platný dokument,NULL
2021-39086,PUV/39086,Platný dokument,NULL
2021-39094,PUV/39094,Platný dokument,NULL
2021-39095,PUV/39095,Platný dokument,NULL
2021-39105,PUV/39105,Platný dokument,NULL
2021-39109,PUV/39109,Platný dokument,NULL
2021-39112,PUV/39112,Platný dokument,NULL
2021-39114,PUV/39114,Platný dokument,NULL
2021-39118,PUV/39118,Platný dokument,NULL
2021-39120,PUV/39120,Platný dokument,NULL
2021-39126,PUV/39126,Platný dokument,NULL
2021-39131,PUV/39131,Platný dokument,NULL
2021-39139,PUV/39139,Platný dokument,NULL
2021-39150,PUV/39150,Platný dokument,NULL
2021-39152,PUV/39152,Platný dokument,NULL
2021-39155,PUV/39155,Platný dokument,NULL
2021-39157,PUV/39157,Platný dokument,NULL
2021-39160,PUV/39160,Platný dokument,NULL
2021-39162,PUV/39162,Platný dokument,NULL
2021-39163,PUV/39163,Platný dokument,NULL
2021-39169,PUV/39169,Platný dokument,NULL
2021-39175,PUV/39175,Platný dokument,NULL
2021-39179,PUV/39179,Platný dokument,NULL
2021-39180,PUV/39180,Platný dokument,NULL
2021-39189,PUV/39189,Platný dokument,NULL
2021-39192,PUV/39192,Platný dokument,NULL
2021-39195,PUV/39195,Platný dokument,NULL
2021-39196,PUV/39196,Platný dokument,NULL
2021-39198,PUV/39198,Platný dokument,NULL
2021-39199,PUV/39199,Platný dokument,NULL
2021-39216,PUV/39216,Platný dokument,NULL
2021-39218,PUV/39218,Platný dokument,NULL
2021-39223,PUV/39223,Platný dokument,NULL
2021-39235,PUV/39235,Platný dokument,NULL
2021-39236,PUV/39236,Platný dokument,NULL
2021-39246,PUV/39246,Platný dokument,NULL
2021-39255,PUV/39255,Platný dokument,NULL
2021-39257,PUV/39257,Platný dokument,NULL
2021-39258,PUV/39258,Platný dokument,NULL
2021-39261,PUV/39261,Platný dokument,NULL
2021-39263,PUV/39263,Platný dokument,NULL
2021-39273,PUV/39273,Platný dokument,NULL
2021-39275,PUV/39275,Platný dokument,NULL
2021-39279,PUV/39279,Platný dokument,NULL
2021-39293,PUV/39293,Platný dokument,NULL
2021-39294,PUV/39294,Platný dokument,NULL
2021-392,PT/2021-392,Zveřejněná přihláška,NULL
2021-39309,PUV/39309,Platný dokument,NULL
2021-39310,PUV/39310,Platný dokument,NULL
2021-39315,PUV/39315,Platný dokument,NULL
2021-39318,PUV/39318,Platný dokument,NULL
2021-39319,PUV/39319,Platný dokument,NULL
2021-39322,PUV/39322,Platný dokument,NULL
2021-39323,PUV/39323,Platný dokument,NULL
2021-39324,PUV/39324,Platný dokument,NULL
2021-39325,PUV/39325,Platný dokument,NULL
2021-39326,PUV/39326,Platný dokument,NULL
2021-39327,PUV/39327,Platný dokument,NULL
2021-39328,PUV/39328,Platný dokument,NULL
2021-39337,PUV/39337,Platný dokument,NULL
2021-39340,PUV/39340,Platný dokument,NULL
2021-39344,PUV/39344,Platný dokument,NULL
2021-39345,PUV/39345,Platný dokument,NULL
2021-39348,PUV/39348,Platný dokument,NULL
2021-39352,PUV/39352,Platný dokument,NULL
2021-39355,PUV/39355,Platný dokument,NULL
2021-39356,PUV/39356,Platný dokument,NULL
2021-39360,PUV/39360,Platný dokument,NULL
2021-39370,PUV/39370,Platný dokument,NULL
2021-39373,PUV/39373,Platný dokument,NULL
2021-39374,PUV/39374,Platný dokument,NULL
2021-39384,PUV/39384,Platný dokument,NULL
2021-39388,PUV/39388,Platný dokument,NULL
2021-39389,PUV/39389,Platný dokument,NULL
2021-39393,PUV/39393,Platný dokument,NULL
2021-39399,PUV/39399,Platný dokument,NULL
2021-39401,PUV/39401,Platný dokument,NULL
2021-39402,PUV/39402,Platný dokument,NULL
2021-39411,PUV/39411,Platný dokument,NULL
2021-39421,PUV/39421,Platný dokument,NULL
2021-39429,PUV/39429,Platný dokument,NULL
2021-39437,PUV/39437,Platný dokument,NULL
2021-39438,PUV/39438,Platný dokument,NULL
2021-39442,PUV/39442,Platný dokument,NULL
2021-39443,PUV/39443,Platný dokument,NULL
2021-39449,PUV/39449,Platný dokument,NULL
2021-39450,PUV/39450,Platný dokument,NULL
2021-39454,PUV/39454,Platný dokument,NULL
2021-39456,PUV/39456,Platný dokument,NULL
2021-39462,PUV/39462,Platný dokument,NULL
2021-39464,PUV/39464,Platný dokument,NULL
2021-39465,PUV/39465,Platný dokument,NULL
2021-39471,PUV/39471,Platný dokument,NULL
2021-39479,PUV/39479,Platný dokument,NULL
2021-39481,PUV/39481,Platný dokument,NULL
2021-39485,PUV/39485,Platný dokument,NULL
2021-39486,PUV/39486,Platný dokument,NULL
2021-39490,PUV/39490,Platný dokument,NULL
2021-39496,PUV/39496,Platný dokument,NULL
2021-39499,PUV/39499,Platný dokument,NULL
2021-39506,PUV/39506,Platný dokument,NULL
2021-39509,PUV/39509,Platný dokument,NULL
2021-39511,PUV/39511,Platný dokument,NULL
2021-39513,PUV/39513,Platný dokument,NULL
2021-39514,PUV/39514,Platný dokument,NULL
2021-39516,PUV/39516,Platný dokument,NULL
2021-39520,PUV/39520,Platný dokument,NULL
2021-39525,PUV/39525,Platný dokument,NULL
2021-39526,PUV/39526,Platný dokument,NULL
2021-39541,PUV/39541,Platný dokument,NULL
2021-39542,PUV/39542,Platný dokument,NULL
2021-39543,PUV/39543,Platný dokument,NULL
2021-39544,PUV/39544,Platný dokument,NULL
2021-399,PT/2021-399,Platný dokument,NULL
2021-39,PT/2021-39,Platný dokument,NULL
2021-3,PT/2021-3,Platný dokument,NULL
2021-401,PT/2021-401,Platný dokument,NULL
2021-405,PT/2021-405,Platný dokument,NULL
2021-407,PT/2021-407,Platný dokument,NULL
2021-408,PT/2021-408,Platný dokument,NULL
2021-418,PT/2021-418,Negativně ukončený po zveřejněnĂ­,NULL
2021-419,PT/2021-419,Platný dokument,NULL
2021-442,PT/2021-442,Platný dokument,NULL
2021-444,PT/2021-444,Platný dokument na poshovovací lhůtě,NULL
2021-446,PT/2021-446,Zaniklý dokument,NULL
2021-451,PT/2021-451,Platný dokument na poshovovací lhůtě,NULL
2021-455,PT/2021-455,Zveřejněná přihláška,NULL
2021-456,PT/2021-456,Platný dokument na poshovovací lhůtě,NULL
2021-459,PT/2021-459,Platný dokument,NULL
2021-465,PT/2021-465,Platný dokument na poshovovací lhůtě,NULL
2021-473,PT/2021-473,Platný dokument,NULL
2021-476,PT/2021-476,Platný dokument,NULL
2021-479,PT/2021-479,Platný dokument,NULL
2021-47,PT/2021-47,Platný dokument,NULL
2021-480,PT/2021-480,Platný dokument,NULL
2021-486,PT/2021-486,Platný dokument,NULL
2021-487,PT/2021-487,Platný dokument,NULL
2021-495,PT/2021-495,Platný dokument,NULL
2021-499,PT/2021-499,Platný dokument,NULL
2021-49,PT/2021-49,Platný dokument,NULL
2021-501,PT/2021-501,Platný dokument,NULL
2021-502,PT/2021-502,Platný dokument,NULL
2021-504,PT/2021-504,Platný dokument,NULL
2021-511,PT/2021-511,Platný dokument,NULL
2021-514,PT/2021-514,Platný dokument,NULL
2021-515,PT/2021-515,Platný dokument,NULL
2021-51,PT/2021-51,Platný dokument,NULL
2021-525,PT/2021-525,Platný dokument,NULL
2021-538,PT/2021-538,Zveřejněná přihláška,NULL
2021-541,PT/2021-541,Zveřejněná přihláška,NULL
2021-543,PT/2021-543,Platný dokument,NULL
2021-544,PT/2021-544,Platný dokument,NULL
2021-556,PT/2021-556,Platný dokument,NULL
2021-558,PT/2021-558,Platný dokument,NULL
2021-55,PT/2021-55,Platný dokument,NULL
2021-561,PT/2021-561,Platný dokument,NULL
2021-571,PT/2021-571,Zveřejněná přihláška,NULL
2021-572,PT/2021-572,Platný dokument,NULL
2021-579,PT/2021-579,Platný dokument,NULL
2021-581,PT/2021-581,Platný dokument,NULL
2021-586,PT/2021-586,Zveřejněná přihláška,NULL
2021-587,PT/2021-587,Zveřejněná přihláška,NULL
2021-589,PT/2021-589,Platný dokument,NULL
2021-590,PT/2021-590,Zveřejněná přihláška,NULL
2021-593,PT/2021-593,Platný dokument,NULL
2021-594,PT/2021-594,Platný dokument,NULL
2021-595,PT/2021-595,Platný dokument,NULL
2021-598,PT/2021-598,Negativně ukončený po zveřejněnĂ­,NULL
2021-604,PT/2021-604,Platný dokument,NULL
2021-63,PT/2021-63,Zveřejněná přihláška,NULL
2021-69,PT/2021-69,Zveřejněná přihláška,NULL
2021-709333,EP/4107145,Neúčinný EP od počátku,NULL
2021-713878,EP/4103929,Neúčinný EP od počátku,NULL
2021-745230,EP/4103828,Platný dokument,NULL
2021-822324,EP/4051195,Neúčinný EP od počátku,NULL
2021-83,PT/2021-83,Zaniklý dokument,NULL
2021-856899,EP/4244331,Platný dokument,NULL
2021-85,PT/2021-85,Platný dokument,NULL
2021-90,PT/2021-90,Platný dokument,NULL
2021-99,PT/2021-99,Platný dokument,NULL
2022-104,PT/2022-104,Platný dokument,NULL
2022-106,PT/2022-106,Platný dokument,NULL
2022-107,PT/2022-107,Platný dokument,NULL
2022-10,PT/2022-10,Platný dokument,NULL
2022-117,PT/2022-117,Zveřejněná přihláška,NULL
2022-123,PT/2022-123,Platný dokument,NULL
2022-124,PT/2022-124,Platný dokument,NULL
2022-125,PT/2022-125,Platný dokument,NULL
2022-128,PT/2022-128,Platný dokument,NULL
2022-129,PT/2022-129,Platný dokument,NULL
2022-136,PT/2022-136,Platný dokument,NULL
2022-137,PT/2022-137,Platný dokument,NULL
2022-152,PT/2022-152,Platný dokument,NULL
2022-15,PT/2022-15,Platný dokument,NULL
2022-160,PT/2022-160,Platný dokument,NULL
2022-169,PT/2022-169,Platný dokument,NULL
2022-170293,EP/4059527,Neúčinný EP od počátku,NULL
2022-170,PT/2022-170,Zveřejněná přihláška,NULL
2022-17,PT/2022-17,Platný dokument,NULL
2022-18,PT/2022-18,Platný dokument,NULL
2022-204,PT/2022-204,Zveřejněná přihláška,NULL
2022-207,PT/2022-207,Zveřejněná přihláška,NULL
2022-227,PT/2022-227,Zveřejněná přihláška,NULL
2022-229,PT/2022-229,Platný dokument,NULL
2022-22,PT/2022-22,Platný dokument,NULL
2022-232,PT/2022-232,Platný dokument na poshovovací lhůtě,NULL
2022-234,PT/2022-234,Platný dokument,NULL
2022-236,PT/2022-236,Platný dokument na poshovovací lhůtě,NULL
2022-238,PT/2022-238,Platný dokument,NULL
2022-241,PT/2022-241,Zveřejněná přihláška,NULL
2022-248,PT/2022-248,Platný dokument,NULL
2022-251,PT/2022-251,Platný dokument,NULL
2022-257,PT/2022-257,Platný dokument,NULL
2022-262,PT/2022-262,Platný dokument,NULL
2022-263,PT/2022-263,Platný dokument,NULL
2022-275,PT/2022-275,Platný dokument,NULL
2022-277,PT/2022-277,Platný dokument,NULL
2022-279,PT/2022-279,Zveřejněná přihláška,NULL
2022-28,PT/2022-28,Platný dokument,NULL
2022-291,PT/2022-291,Platný dokument,NULL
2022-294,PT/2022-294,Zveřejněná přihláška,NULL
2022-307,PT/2022-307,Zveřejněná přihláška,NULL
2022-310,PT/2022-310,Platný dokument,NULL
2022-313,PT/2022-313,Platný dokument,NULL
2022-314,PT/2022-314,Platný dokument,NULL
2022-317,PT/2022-317,Platný dokument,NULL
2022-319,PT/2022-319,Platný dokument,NULL
