Application_Number,API,STAV,smazat
2013-27805,PUV/27805,Zaniklý dokument,NULL
2013-27807,PUV/27807,Zaniklý dokument,NULL
2013-27816,PUV/27816,Zaniklý dokument,NULL
2013-27819,PUV/27819,Zaniklý dokument,NULL
2013-27821,PUV/27821,Zaniklý dokument,NULL
2013-27822,PUV/27822,Zaniklý dokument,NULL
2013-27823,PUV/27823,Zaniklý dokument,NULL
2013-27825,PUV/27825,Zaniklý dokument,NULL
2013-27832,PUV/27832,Zaniklý dokument,NULL
2013-27834,PUV/27834,Zaniklý dokument,NULL
2013-27837,PUV/27837,Zaniklý dokument,NULL
2013-27845,PUV/27845,Zaniklý dokument,NULL
2013-27846,PUV/27846,Zaniklý dokument,NULL
2013-27847,PUV/27847,Zaniklý dokument,NULL
2013-27848,PUV/27848,Zaniklý dokument,NULL
2013-27852,PUV/27852,Zaniklý dokument,NULL
2013-27868,PUV/27868,Zaniklý dokument,NULL
2013-27877,PUV/27877,Zaniklý dokument,NULL
2013-27878,PUV/27878,Zaniklý dokument,NULL
2013-27894,PUV/27894,Zaniklý dokument,NULL
2013-27896,PUV/27896,Zaniklý dokument,NULL
2013-27899,PUV/27899,Zaniklý dokument,NULL
2013-27905,PUV/27905,Zaniklý dokument,NULL
2013-27908,PUV/27908,Zaniklý dokument,NULL
2013-27929,PUV/27929,Zaniklý dokument,NULL
2013-27932,PUV/27932,Zaniklý dokument,NULL
2013-27954,PUV/27954,Zaniklý dokument,NULL
2013-27958,PUV/27958,Zaniklý dokument,NULL
2013-27980,PUV/27980,Zaniklý dokument,NULL
2013-27982,PUV/27982,Zaniklý dokument,NULL
2013-27987,PUV/27987,Zaniklý dokument,NULL
2013-27989,PUV/27989,Zaniklý dokument,NULL
2013-27991,PUV/27991,Zaniklý dokument,NULL
2013-27996,PUV/27996,Zaniklý dokument,NULL
2013-27997,PUV/27997,Zaniklý dokument,NULL
2013-28003,PUV/28003,Zaniklý dokument,NULL
2013-28012,PUV/28012,Zaniklý dokument,NULL
2013-28015,PUV/28015,Zaniklý dokument,NULL
2013-28017,PUV/28017,Zaniklý dokument,NULL
2013-28018,PUV/28018,Zaniklý dokument,NULL
2013-28019,PUV/28019,Zaniklý dokument,NULL
2013-28024,PUV/28024,Zaniklý dokument,NULL
2013-28026,PUV/28026,Zaniklý dokument,NULL
2013-28036,PUV/28036,Zaniklý dokument,NULL
2013-28046,PUV/28046,Zaniklý dokument,NULL
2013-28047,PUV/28047,Zaniklý dokument,NULL
2013-28052,PUV/28052,Zaniklý dokument,NULL
2013-28053,PUV/28053,Zaniklý dokument,NULL
2013-28054,PUV/28054,Zaniklý dokument,NULL
2013-28060,PUV/28060,Zaniklý dokument,NULL
2013-28067,PUV/28067,Zaniklý dokument,NULL
2013-28077,PUV/28077,Zaniklý dokument,NULL
2013-28085,PUV/28085,Zaniklý dokument,NULL
2013-28098,PUV/28098,Zaniklý dokument,NULL
2013-280,PT/2013-280,Negativně ukončený po zveřejněnĂ­,NULL
2013-28104,PUV/28104,Zaniklý dokument,NULL
2013-28107,PUV/28107,Zaniklý dokument,NULL
2013-28108,PUV/28108,Zaniklý dokument,NULL
2013-28109,PUV/28109,Zaniklý dokument,NULL
2013-28110,PUV/28110,Zaniklý dokument,NULL
2013-28116,PUV/28116,Zaniklý dokument,NULL
2013-28130,PUV/28130,Zaniklý dokument,NULL
2013-28134,PUV/28134,Zaniklý dokument,NULL
2013-28135,PUV/28135,Zaniklý dokument,NULL
2013-28140,PUV/28140,Zaniklý dokument,NULL
2013-28141,PUV/28141,Zaniklý dokument,NULL
2013-28142,PUV/28142,Zaniklý dokument,NULL
2013-28158,PUV/28158,Zaniklý dokument,NULL
2013-28159,PUV/28159,Zaniklý dokument,NULL
2013-28164,PUV/28164,Zaniklý dokument,NULL
2013-28169,PUV/28169,Zaniklý dokument,NULL
2013-28170,PUV/28170,Zaniklý dokument,NULL
2013-28179,PUV/28179,Zaniklý dokument,NULL
2013-28180,PUV/28180,Zaniklý dokument,NULL
2013-28184,PUV/28184,Zaniklý dokument,NULL
2013-28185,PUV/28185,Zaniklý dokument,NULL
2013-28197,PUV/28197,Zaniklý dokument,NULL
2013-281,PT/2013-281,Platný dokument prošlá poshovovací lhůta,NULL
2013-28210,PUV/28210,Zaniklý dokument,NULL
2013-28211,PUV/28211,Zaniklý dokument,NULL
2013-28212,PUV/28212,Zaniklý dokument,NULL
2013-28225,PUV/28225,Zaniklý dokument,NULL
2013-28228,PUV/28228,Zaniklý dokument,NULL
2013-28232,PUV/28232,Zaniklý dokument,NULL
2013-28233,PUV/28233,Zaniklý dokument,NULL
2013-28235,PUV/28235,Zaniklý dokument,NULL
2013-28236,PUV/28236,Zaniklý dokument,NULL
2013-28237,PUV/28237,Zaniklý dokument,NULL
2013-28246,PUV/28246,Zaniklý dokument,NULL
2013-28255,PUV/28255,Zaniklý dokument,NULL
2013-28256,PUV/28256,Zaniklý dokument,NULL
2013-28260,PUV/28260,Zaniklý dokument,NULL
2013-28264,PUV/28264,Zaniklý dokument,NULL
2013-28265,PUV/28265,Zaniklý dokument,NULL
2013-28266,PUV/28266,Zaniklý dokument,NULL
2013-28267,PUV/28267,Zaniklý dokument,NULL
2013-28268,PUV/28268,Zaniklý dokument,NULL
2013-28269,PUV/28269,Zaniklý dokument,NULL
2013-28272,PUV/28272,Zaniklý dokument,NULL
2013-28273,PUV/28273,Zaniklý dokument,NULL
2013-28278,PUV/28278,Zaniklý dokument,NULL
2013-28285,PUV/28285,Zaniklý dokument,NULL
2013-282,PT/2013-282,Zaniklý dokument,NULL
2013-28304,PUV/28304,Zaniklý dokument,NULL
2013-28305,PUV/28305,Zaniklý dokument,NULL
2013-28306,PUV/28306,Zaniklý dokument,NULL
2013-28310,PUV/28310,Zaniklý dokument,NULL
2013-28318,PUV/28318,Zaniklý dokument,NULL
2013-28326,PUV/28326,Zaniklý dokument,NULL
2013-28333,PUV/28333,Zaniklý dokument,NULL
2013-28336,PUV/28336,Zaniklý dokument,NULL
2013-28339,PUV/28339,Zaniklý dokument,NULL
