Applicant_name,Country_code,Application_number,File_name,Filing_date,ID_univerzita,API,TYP,TYP_cislo,Application_number,API,STAV,API_typ
ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v PrazeÂ ,CZ,2016-33127,OPENDATAST96_PT_CZ_DIFF_PUV2016-33127.xml,42709,3,PUV/33127,PUV,2,2016-33127,PUV/33127,ZaniklĂ˝ dokument,PUV/33127-2
ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v PrazeÂ ,CZ,2016-33244,OPENDATAST96_PT_CZ_DIFF_PUV2016-33244.xml,42732,3,PUV/33244,PUV,2,2016-33244,PUV/33244,PlatnĂ˝ dokument,PUV/33244-2
ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v PrazeÂ ,CZ,2017-33327,OPENDATAST96_PT_CZ_DIFF_PUV2017-33327.xml,42759,3,PUV/33327,PUV,2,2017-33327,PUV/33327,ZaniklĂ˝ dokument,PUV/33327-2
ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v PrazeÂ ,CZ,2017-33666,OPENDATAST96_PT_CZ_DIFF_PUV2017-33666.xml,42860,3,PUV/33666,PUV,2,2017-33666,PUV/33666,PlatnĂ˝ dokument,PUV/33666-2
ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v PrazeÂ ,CZ,2017-33736,OPENDATAST96_PT_CZ_DIFF_PUV2017-33736.xml,42881,3,PUV/33736,PUV,2,2017-33736,PUV/33736,ZaniklĂ˝ dokument,PUV/33736-2
ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v PrazeÂ ,CZ,2017-33935,OPENDATAST96_PT_CZ_DIFF_PUV2017-33935.xml,42935,3,PUV/33935,PUV,2,2017-33935,PUV/33935,PlatnĂ˝ dokument na poshovovacĂ­ lhĹŻtÄ›,PUV/33935-2
ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v PrazeÂ ,CZ,2017-34235,OPENDATAST96_PT_CZ_DIFF_PUV2017-34235.xml,43027,3,PUV/34235,PUV,2,2017-34235,PUV/34235,ZaniklĂ˝ dokument,PUV/34235-2
ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v PrazeÂ ,CZ,2017-34439,OPENDATAST96_PT_CZ_DIFF_PUV2017-34439.xml,43080,3,PUV/34439,PUV,2,2017-34439,PUV/34439,PlatnĂ˝ dokument,PUV/34439-2
ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v PrazeÂ ,CZ,2017-34480,OPENDATAST96_PT_CZ_DIFF_PUV2017-34480.xml,43088,3,PUV/34480,PUV,2,2017-34480,PUV/34480,PlatnĂ˝ dokument,PUV/34480-2
ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v PrazeÂ ,CZ,2018-35194,OPENDATAST96_PT_CZ_DIFF_PUV2018-35194.xml,43301,3,PUV/35194,PUV,2,2018-35194,PUV/35194,ZaniklĂ˝ dokument,PUV/35194-2
