Patent_Code,Patent_Number,Patent_ID,Status,Classes,Title,Organization,ID_univerzita
PUV,2013-27805,25558,Zaniklý dokument,"G01N27/02, G01N27/07, G01N31/22",CS: Čidlo pro měření relativní vlhkosti v širokém rozsahu teplot a relativní vlhkostiEN: Sensor for measuring relative humidity within a broad range of temperatures and relative humidity,"Česká republikaZápadočeská univerzita v Plzni, Plzeň, Jižní Předměstí, Česká republikaCentrum organické chemie s.r.o., Rybitví, Česká republika",26
PV,2014-367,305586,Platný dokument,"C07B63/02, C07C51/377, C07C51/42, C07C209/74, C07C209/86, C07C63/06, C07C211/46, C07C211/51",CS: Způsob redukční dehalogenace aromatických halogenderivátůEN: Process of reducing dehalogenation of aromatic halo derivatives,"Univerzita Pardubice, Pardubice, Polabiny, Česká republika",16
PV,2014-814,305617,Platný dokument,"A01K15/02, C06B23/00","CS: Výcvikový materiál, zejména vhodný pro výcvik psů pro detekci výbušnin, a způsob jeho přípravyEN: Training material suitable especially for training of dogs for detection of explosives and process for preparing thereof","Univerzita Pardubice, Pardubice, Polabiny, Česká republika",16
PV,2016-133,306988,Platný dokument,C07C67/03,CS: Způsob přípravy hydrokarbylesterů laktyl laktátů z laktidůEN: The method of preparing lactyl lactate hydrocarbyl esters from lactides,"Univerzita Pardubice, Pardubice, Polabiny, Česká republika",16
PUV,2016-32926,30116,Zaniklý dokument,"C07C229/24, C23F11/14",CS: Antikorozní sekvestrant a přípravek pro kapaliny do potrubních systémůEN: Corrosion resistant sequestrant and formulation for liquids in piping systems,"Univerzita Pardubice, Pardubice, Polabiny, Česká republika",16
PUV,2016-32934,30117,Zaniklý dokument,"C07C229/24, C11D1/10",CS: Deriváty kyseliny asparagové jako povrchově aktivní látkyEN: Aspartic acid derivatives functioning as surfactants,"Univerzita Pardubice, Pardubice, Polabiny, Česká republika",16
PUV,2016-32970,30180,Zaniklý dokument,"C07C233/05, C07K5/06, C07D295/037, D06L1/12, C09K5/00, C10M133/16, C10M133/04","CS: Deriváty kyseliny asparagové jako detergenty, aditiva do kapalin pro obrábění kovů a aditiva do kapalných chladicích směsíEN: Aspartic acid derivatives as detergents, additives in liquid for metal cutting and additives in liquid cooling mixtures","Univerzita Pardubice, Pardubice, Polabiny, Česká republika",16
PUV,2013-28621,26729,Zaniklý dokument,"C09D11/02, C09K11/02, C08G16/02",CS: Polymerní inkoust pro materiálový tiskEN: Polymeric ink for material printing,"Univerzita Tomáše Bati ve Zlíně, Zlín, Česká republika",17
PUV,2013-28742,26261,Zaniklý dokument,H05H1/24,CS: Zařízení pro povrchovou úpravu plazmatem generovaným za normálního tlakuEN: Device for surface treatment by plasma generated under normal pressure,"Univerzita Tomáše Bati ve Zlíně, Zlín, Česká republika",17
PUV,2013-28995,26393,Zaniklý dokument,"C08L81/04, C08L81/06, C08L77/00, C08L23/20, C08L31/06, C08J5/16, C09K3/00",CS: Polymerní směs pro nízkoadhezní aplikaceEN: Polymer mixture for low-adhesive applications,"Univerzita Tomáše Bati ve Zlíně, Zlín, Česká republika",17
